wxregister.csv  (23 rows, 36 of 52 columns populated)

img | #  | report_type | day | time_utc | station_id | wind_indicator | precip_indicator | station_wx_indicator | cloud_base | visibility | total_cloud | wind_dir | wind_speed | air_temp | dew_point | station_pressure | msl_pressure | pressure_tendency | pressure_change | precip_amount | present_wx | past_wx_1 | past_wx_2 | low_cloud_amount | low_cloud_type | mid_cloud_type | s3_state_of_sky | s3_cloud_dir_low | s3_cloud_dir_mid | s3_max_temp | s3_baro_change_24h | s3_rainfall_24h | s3_layer1_amount | s3_remarks                               | notes                                                                   
d1  | 10 | AAXX        | 04  | 05       | 78758      | 4              |                  |                      | 40         |            | 266         | 10       | 233        | 219      |           | 1013.4           |              | 4                 | 0162            |               | 7          | 02        |           | 5                | 4              |                |                 |                  |                  |             |                    |                 |                  | MN-22.8                                  | Approximate.                                                            
d1  | 11 |             | 04  | 06       | 78754      | 4              | 1                | 4                    | 62         | 08         | 10          | 245      | 20         | 220      | 57        | 1013.8           |              |                   |                 |               | 7          | 15        |           | 8                | 5              | 3              |                 |                  |                  |             |                    |                 |                  | JP-NW MN-3.3                             | Approximate.                                                            
d1  | 12 |             | 06  | 41       | 78754      | 4              |                  |                      | 62         | 3          | 08          | 10       | 249        | 230      | 54        | 0139             | 4            | 0149              |                 |               | 7          | 15        |           | 8                | 3              | 5              |                 |                  |                  |             |                    |                 |                  | JP-NW                                    | Approximate; final row.                                                 
d2  | 1  | AAXX        |     | 0300     | 99858      | 4              |                  |                      |            | 16         | 4           |          |            |          |           | 1014.8           | 1015.6       | 3                 | 4               |               | 25         | 81        |           |                  |                |                |                 |                  |                  |             |                    |                 |                  |                                          | Sheet largely faint/handwritten; values low confidence                  
d2  | 2  | CRB         |     | 0443     | 39155      | 4              | 1                | 5                    |            | 57         | 10          |          |            |          |           | 1057             | 1016.0       |                   |                 |               | 50         | 51        |           |                  |                |                |                 |                  |                  |             |                    |                 |                  | 6042-46                                  | low confidence                                                          
d2  | 3  | CRB         |     |          |            |                |                  |                      |            | 31         |             |          |            |          |           | 1057             | 1016.7       |                   |                 |               |            |           |           |                  |                |                |                 |                  |                  |             |                    |                 |                  |                                          | row partly blank, low confidence                                        
d2  | 4  | AAXX        |     | 0445     | 99155      | 4              | 1                | 4                    | 70         | 20         | 20          | 20       |            |          |           | 1045             | 1063         |                   |                 |               | 25         |           |           |                  |                |                |                 |                  |                  |             |                    |                 |                  |                                          | low confidence                                                          
d2  | 5  |             |     | 0446     | 99155      | 4              |                  |                      | 40         | 26         | 15          | 10       |            |          |           | 1042             | 1050         |                   |                 |               |            |           |           |                  |                |                |                 |                  |                  |             |                    |                 |                  |                                          | low confidence                                                          
d2  | 6  | AAXX        |     | 0448     | 99858      | 4              |                  |                      |            |            |             |          |            |          |           | 1031             | 1041         |                   |                 | 0.3           |            |           |           |                  |                |                |                 |                  |                  |             |                    |                 |                  |                                          | low confidence                                                          
d2  | 7  |             |     | 0419     | 78758      | 4              | 1                | 5                    | 70         | 21         | 11          | 20       | 23         |          |           | 1037             | 4137         |                   |                 |               | 05         | 00        |           | 8                |                |                |                 |                  |                  |             |                    |                 |                  |                                          | low confidence                                                          
d2  | 8  |             |     | 0420     | 78758      | 4              | 1                | 5                    | 70         | 10         | 10          | 20       | 14         |          |           | 1037             | 4137         |                   |                 |               | 05         | 00        |           | 8                |                |                |                 |                  |                  |             |                    |                 |                  |                                          | low confidence                                                          
d2  | 9  | AAXX        |     | 0421     | 78958      | 4              | 1                | 5                    | 68         | 70         | 10          | 277      | 20         |          |           | 1035             | 4143         |                   |                 |               |            |           |           |                  |                |                |                 |                  |                  |             |                    |                 |                  |                                          | low confidence                                                          
d2  | 10 |             |     | 0422     | 2858       | 4              |                  |                      |            | 25         |             | 20       | 70         |          |           | 1032             | 4042         |                   |                 |               |            |           |           |                  |                |                |                 |                  |                  |             |                    |                 |                  |                                          | low confidence; station id uncertain                                    
d2  | 11 |             |     | 0423     | 78758      | 4              | 1                | 5                    | 65         | 30         | 12          | 10       | 26         |          |           | 1033             | 4143         |                   |                 |               |            |           |           |                  |                |                |                 |                  |                  |             |                    |                 |                  |                                          | low confidence                                                          
